movie_id;title;genres;avg_rating;num_votes;budget;revenue;release_date;original_language;popularity;keywords
tt0046912;Dial M for Murder;Crime,Thriller;8.2;176362;1400000;3000000;1954-05-29;en;11.797;london, england,adultery,jealousy,blackmail,tennis player,letter,marriage,love,murder,theft,husband,murder plot,crime fiction writer,keys
tt0047296;On the Waterfront;Crime,Drama,Thriller;8.1;155613;910000;9600000;1954-06-22;en;11.76;new jersey,murder,mafia,black and white,union,dock,longshoreman,pigeon
tt0047396;Rear Window;Mystery,Thriller;8.5;490647;1000000;37034514;1954-08-01;en;24.059;nurse,photographer,suspicion of murder,girlfriend,neighbor,salesman,whodunit,convalescence,voyeurism,missing wife,homebound,suspicious behavior,flower bed,visiting nurse
tt0047437;Sabrina;Comedy,Drama,Romance;7.6;65634;2239000;10000000;1954-09-10;en;14.164;sibling relationship,chauffeur,champagne,playboy,love,teenage crush,millionaire,high society,manhattan, new york city,impossible love,family disapproval
tt0047478;Seven Samurai;Action,Drama;8.6;345383;2000000;346300;1954-04-26;ja;22.268;japan,martial arts,samurai,sword,peasant,looting,rice,fencing,village,epic,moral ambiguity,battle,bandit,practice,16th century
tt0047528;La strada;Drama;8.0;63520;0;0;1954-09-23;it;10.615;circus,prison,in love with enemy,authority,sadness,wave,dying and death,rage and hate,unsociability,road trip,single,revenge
tt0048280;Lady and the Tramp;Adventure,Animation,Comedy;7.3;136671;4000000;36359037;1955-06-22;en;62.761;cat,spaghetti,lover (female),love of one's life,kiss,dog,pets
tt0048424;The Night of the Hunter;Crime,Drama,Film-Noir;8.0;90013;795000;0;1955-08-26;en;10.431;prison,window,fanatic,count,film noir,murder,money,religion,theft,doll,hymn,children on the run
tt0048545;Rebel Without a Cause;Drama;7.6;91526;1500000;199963;1955-10-29;en;13.201;individual,rebel,street gang,car race,parent child relationship,underground world,authority,unsociability,coming of age,based on short story,teen rebel,griffith observatory,teenager
tt0048728;To Catch a Thief;Mystery,Romance,Thriller;7.4;73819;2500000;8750000;1955-08-03;en;12.368;hotel,falsely accused,villa,jealousy,age difference,cat,expensive restaurant,nice,southern france,masked ball,roof,picnic,fireworks,côte d'azur,jewelry,police,blonde,french riviera,cat burglar,riviera
